reef_name,lat,lon,sector,year_before,year_after,coral_before,coral_after,change,pct_change
LOG REEF (SOUTH),-12.675,143.841667,CG,2006,2021,16.855,26.538,9.68,57.4
OSBORNE REEF,-13.041667,143.625,PC,2020,2023,3.476,9.881,6.41,184.3
13040S,-13.266667,143.941667,PC,2020,2021,16.556,35.25,18.69,112.9
CELEBRATION REEF,-13.275,143.691667,PC,2013,2017,12.34,11.759,-0.58,-4.7
SAND BANK NO 8 REEF,-13.358333,143.958333,PC,2021,2023,24.75,43.4,18.65,75.4
BLANCHARD REEF,-13.416667,143.75,PC,2013,2017,16.628,11.745,-4.88,-29.4
13063S,-13.416667,143.816667,PC,2002,2021,16.27,13.347,-2.92,-18.0
MORRIS ISLAND REEF,-13.483333,143.733333,PC,2013,2017,20.753,23.784,3.03,14.6
CREECH REEF (NORTH),-13.625,144.108333,PC,2021,2023,38.993,46.969,7.98,20.5
FIFE REEF,-13.658333,143.725,PC,1998,2001,40.076,40.662,0.59,1.5
13093A,-13.758333,143.991667,PC,2013,2020,15.688,7.105,-8.58,-54.7
13121S,-13.783333,144.266667,PC,2021,2023,22.386,29.421,7.04,31.4
13124S,-13.866667,144.091667,PC,2022,2023,31.438,36.028,4.59,14.6
HEDGE REEF,-13.908333,143.958333,PC,2013,2020,20.179,2.875,-17.3,-85.8
PELICAN ISLAND REEF(13107),-13.916667,143.841667,PC,2001,2013,30.742,30.213,-0.53,-1.7
RODDA REEF,-13.925,144.366667,PC,2022,2023,52.195,38.819,-13.38,-25.6
DAVIE REEF,-13.975,144.458333,PC,2022,2023,38.169,37.075,-1.09,-2.9
TYDEMAN REEF,-13.983333,144.516667,PC,2022,2023,36.404,31.395,-5.01,-13.8
CORBETT REEF,-14.0,144.108333,PC,2022,2023,30.462,26.829,-3.63,-11.9
CLACK REEF,-14.066667,144.241667,PC,2013,2017,38.59,18.208,-20.38,-52.8
SAND BANK NO 1 REEF,-14.191667,144.916667,PC,2022,2023,52.928,34.551,-18.38,-34.7
14075S,-14.283333,145.175,CL,2015,2021,17.415,32.802,15.39,88.4
STAPLETON REEF,-14.325,144.858333,CL,2004,2007,19.797,20.478,0.68,3.4
14056S,-14.325,144.958333,CL,2010,2021,8.273,8.25,-0.02,-0.3
SWITZER REEF,-14.358333,144.758333,CL,2001,2004,11.893,19.754,7.86,66.1
INGRAM-BEANLEY REEF,-14.425,144.891667,CL,2006,2010,19.548,25.98,6.43,32.9
HILDER REEF,-14.441667,145.408333,CL,2006,2023,5.509,39.224,33.71,612.0
FLY REEF,-14.5,145.158333,CL,2010,2021,24.612,10.87,-13.74,-55.8
HOUGHTON REEF,-14.525,144.975,CL,1999,2005,25.38,35.729,10.35,40.8
CARTER REEF,-14.55,145.583333,CL,2022,2023,29.162,32.826,3.66,12.6
YONGE REEF,-14.6,145.625,CL,2022,2023,28.51,35.436,6.93,24.3
MACGILLIVRAY REEF,-14.65,145.491667,CL,2022,2023,31.316,36.912,5.6,17.9
NO NAME REEF,-14.65,145.65,CL,2022,2023,29.936,25.411,-4.52,-15.1
NYMPH REEF,-14.658333,145.25,CL,2005,2010,29.75,38.641,8.89,29.9
LIZARD ISLAND,-14.675,145.466667,CL,2022,2023,22.368,24.083,1.71,7.7
EYRIE REEF,-14.716667,145.375,CL,2015,2021,5.548,29.853,24.3,438.1
TURTLE GROUP REEF (NO 2),-14.736667,145.2,CL,2000,2001,37.206,26.641,-10.57,-28.4
NORTH DIRECTION REEF,-14.741667,145.508333,CL,2022,2023,43.75,49.853,6.1,13.9
MARTIN REEF(14123),-14.766667,145.358333,CL,2022,2023,23.06,41.602,18.54,80.4
LINNET REEF,-14.783333,145.341667,CL,2022,2023,29.839,34.393,4.55,15.3
SOUTH DIRECTION REEF (NORTH),-14.825,145.525,CL,2015,2023,7.23,26.281,19.05,263.5
EYE REEF,-14.891667,145.475,CL,2010,2015,25.833,2.955,-22.88,-88.6
NO 10 PATCHES (NO 2),-14.933333,145.683333,CL,2010,2023,28.348,33.864,5.52,19.5
HELSDON REEF,-14.95,145.491667,CL,2015,2021,7.452,27.708,20.26,271.8
RIBBON NO 9 REEF,-14.991667,145.708333,CL,2009,2021,14.472,28.056,13.58,93.9
TWO ISLANDS REEF,-15.025,145.441667,CL,2011,2013,46.534,33.9,-12.63,-27.2
