reef_name,sector,lat,lon,latest_coral_pct
OYSTER REEF,CA,-16.633333,145.933333,4.214
VLASOFF REEF,CA,-16.65,146.0,4.924
UPOLU REEF,CA,-16.675,145.933333,2.417
EUSTON REEF,CA,-16.691667,146.25,13.571
ARLINGTON REEF,CA,-16.716667,146.066667,8.75
FLYNN REEF,CA,-16.733333,146.275,9.271
GREEN ISLAND REEF,CA,-16.758333,145.98,18.698
THETFORD REEF,CA,-16.808333,146.191667,26.22
MOORE REEF,IN,-16.866667,146.233333,11.656
FITZROY ISLAND REEF,CA,-16.925,145.983333,30.833
SCOTT REEF,IN,-17.075,146.183333,9.706
NOGGIN REEF,IN,-17.133333,146.466667,15.56
FLORA REEF,IN,-17.183333,146.291667,15.45
NORMANBY-MABEL REEF,IN,-17.208333,146.083333,8.125
HEDLEY REEF,IN,-17.233333,146.483333,15.391
MCCULLOCH,IN,-17.283333,146.45,3.589
WARDLE REEF,IN,-17.45,146.541667,12.974
PEART REEF,IN,-17.483333,146.391667,27.188
FEATHER REEF,IN,-17.533333,146.383333,25.769
GILBEY REEF,IN,-17.583333,146.583333,26.667
HUTCHISON REEF,IN,-17.675,146.166667,4.167
JESSIE-KENT REEF,IN,-17.676667,146.175,2.368
POTTER REEF (NO 1),IN,-17.7,146.55,33.887
ELLISON REEF,IN,-17.725,146.4,9.312
FARQUHARSON REEF (NO 1),IN,-17.783333,146.516667,12.313
TAYLOR REEF,IN,-17.833333,146.55,14.873
BEAVER REEF,IN,-17.85,146.483333,12.833
MOSS REEF,IN,-17.95,146.8,28.31
18023S,TO,-18.141667,146.975,11.625
MYRMIDON REEF,TO,-18.266667,147.391667,49.016
BRAMBLE REEF,TO,-18.416667,146.708333,6.864
DIP REEF,TO,-18.416667,147.458333,33.011
FARADAY REEF,TO,-18.425,147.358333,20.809
ROXBURGH REEF,TO,-18.433333,147.066667,31.65
KELSO REEF,TO,-18.441667,146.991667,37.313
LITTLE KELSO REEF,TO,-18.475,147.0,26.912
RIB REEF,TO,-18.483333,146.883333,21.694
FORE AND AFT REEF,TO,-18.5,147.033333,25.991
HOPKINSON REEF,TO,-18.558333,147.191667,21.25
YANKEE REEF,TO,-18.566667,147.491667,17.5
KNIFE REEF,TO,-18.583333,147.558333,48.911
FORK REEF,TO,-18.616667,147.558333,35.811
JOHN BREWER REEF,TO,-18.633333,147.058333,25.688
HELIX REEF,TO,-18.633333,147.3,53.603
GRUB REEF(18077),TO,-18.633333,147.425,12.843
CHICKEN REEF,TO,-18.658333,147.708333,35.806
FANTOME (EUMILLI) ISLAND REEF,TO,-18.675,146.516667,6.081
LODESTONE REEF,TO,-18.7,147.1,3.804
CENTIPEDE REEF,TO,-18.725,147.541667,14.216
KEEPER REEF,TO,-18.75,147.266667,5.4
LYNCHS REEF,TO,-18.775,147.708333,4.609
WHEELER REEF,TO,-18.808333,147.525,65.95
DAVIES REEF,TO,-18.825,147.641667,48.958
HAVANNAH REEF,TO,-18.85,146.541667,25.806
SAVILLE-KENT REEF,TO,-18.858333,147.891667,16.125
VIPER REEF,CU,-18.866667,148.141667,48.103
SHRIMP REEF,CU,-18.95,148.083333,31.988
(LITTLE) BROADHURST REEF,TO,-18.966667,147.7,4.414
JAGUAR REEF,CU,-18.983333,148.425,47.5
BOWDEN REEF,CU,-19.033333,147.933333,32.07
SHELL REEF,CU,-19.066667,148.183333,35.75
JACQUELINE REEF,CU,-19.216667,148.9,34.941
KANGAROO REEF (EAST),CU,-19.25,148.625,15.417
KANGAROO REEF (WEST),CU,-19.258333,148.55,38.319
FAITH REEF,CU,-19.283333,148.35,32.674
STANLEY REEF,CU,-19.3,148.083333,9.167
ELIZABETH REEF,CU,-19.333333,149.05,26.701
CHARITY REEF,CU,-19.366667,148.333333,17.689
SHOWERS REEF,CU,-19.491667,148.908333,24.56
WANSFELL REEF,CU,-19.508333,149.116667,25.078
PLASTER REEF,WH,-19.633333,149.658333,29.063
SLATE REEF,WH,-19.666667,149.925,61.48
HOLBOURNE ISLAND REEF,CU,-19.716667,148.358333,8.452
HARDY REEF,WH,-19.758333,149.225,34.456
HYDE REEF,WH,-19.758333,150.091667,53.075
19131S,WH,-19.766667,149.366667,26.13
BAIT REEF,WH,-19.808333,149.075,16.957
19138S,WH,-19.808333,149.425,19.643
REBE REEF,WH,-19.808333,150.15,59.291
NAPIER REEF,WH,-19.841667,149.891667,39.355
CONDER REEF,PO,-19.916667,150.2,4.928
BEN REEF,PO,-20.008333,150.325,45.804
20104S,WH,-20.033333,149.683333,15.0
HAYMAN ISLAND REEF,WH,-20.066667,148.891667,15.096
